
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::        (v2.1.7.RELEASE)

13:51:51.316 [main] INFO  InsertRespositoryTest - Starting InsertRespositoryTest on 52NLUMMERLAND with PID 9572 (started by CarstenHollmann in D:\dev\git\series-sos-proxy\proxy-dao)
13:51:51.323 [main] DEBUG InsertRespositoryTest - Running with Spring Boot v2.1.7.RELEASE, Spring v5.1.9.RELEASE
13:51:51.326 [main] INFO  InsertRespositoryTest - No active profile set, falling back to default profiles: default
13:51:53.115 [main] INFO  RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
13:51:53.540 [main] INFO  RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 383ms. Found 13 repository interfaces.
13:51:54.074 [main] INFO  TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor - Replacing 'dataSource' DataSource bean with embedded version
13:51:58.365 [main] INFO  EmbeddedDatabaseFactory - Starting embedded database: url='jdbc:h2:mem:449ce038-4960-4ce2-ba4f-93ca1de5dcff;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
13:52:01.028 [main] INFO  PersistenceUnitReader - persistence.xml should be located inside META-INF directory; cannot determine persistence unit root URL for class path resource [mapping/proxy/persistence.xml]
13:52:01.043 [main] DEBUG HibernatePersistenceLoadingLocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default-unit'
13:52:01.126 [main] INFO  LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default-unit]
13:52:01.451 [main] INFO  Version - HHH000412: Hibernate Core {5.4.3.Final}
13:52:01.927 [main] INFO  SpatialService - HHH80000001: hibernate-spatial integration enabled : true
13:52:02.149 [main] INFO  Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
13:52:02.295 [main] DEBUG BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4fad51a3
13:52:02.297 [main] DEBUG BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4fad51a3
13:52:02.297 [main] DEBUG BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@4fad51a3
13:52:02.299 [main] DEBUG BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@3ac0a14b
13:52:02.314 [main] DEBUG BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@50ff7063
13:52:02.316 [main] DEBUG BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@d28c214
13:52:02.321 [main] DEBUG BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@30cafd13
13:52:02.321 [main] DEBUG BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@30cafd13
13:52:02.322 [main] DEBUG BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@30cafd13
13:52:02.324 [main] DEBUG BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@34f23816
13:52:02.325 [main] DEBUG BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@34f23816
13:52:02.325 [main] DEBUG BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@34f23816
13:52:02.328 [main] DEBUG BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@6f0c45f4
13:52:02.329 [main] DEBUG BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@6f0c45f4
13:52:02.329 [main] DEBUG BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@6f0c45f4
13:52:02.332 [main] DEBUG BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@3335afcf
13:52:02.332 [main] DEBUG BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@3335afcf
13:52:02.363 [main] DEBUG BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@3335afcf
13:52:02.369 [main] DEBUG BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5a899811
13:52:02.370 [main] DEBUG BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5a899811
13:52:02.370 [main] DEBUG BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5a899811
13:52:02.373 [main] DEBUG BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6182ffef
13:52:02.374 [main] DEBUG BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6182ffef
13:52:02.375 [main] DEBUG BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@6182ffef
13:52:02.379 [main] DEBUG BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@7fd751de
13:52:02.380 [main] DEBUG BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@7fd751de
13:52:02.380 [main] DEBUG BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@7fd751de
13:52:02.383 [main] DEBUG BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@6bd7439d
13:52:02.385 [main] DEBUG BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@6bd7439d
13:52:02.426 [main] DEBUG BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@4a9b92c6
13:52:02.429 [main] DEBUG BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@4a9b92c6
13:52:02.434 [main] DEBUG BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@690df641
13:52:02.438 [main] DEBUG BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@690df641
13:52:02.442 [main] DEBUG BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@1da75dde
13:52:02.504 [main] DEBUG BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@595fed99
13:52:02.512 [main] DEBUG BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@76af34b5
13:52:02.513 [main] DEBUG BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@76af34b5
13:52:02.521 [main] DEBUG BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@30d5e37c
